"F","A","D/G","A/E",
"Dm/G","A/E","D/G","A/A/E/D",
"D","D/E7","A","D",
"A","A","A","D",
"A","A","E","D",
"A","A/A/A/C#m","E","D",
"A","A","A","F#m",
"Bm","E7","A","F#m",
"Bm","E","Dm/A","Dm/A",
"D/A","G#/A","A/E7","D/G",
"A/D","D/G","A/E7","D",
"A/E","D/D#","A/D","D/F#m/G/G",
"A/D","D/G","A","DM7",
"A/E","D","A","F#m",
"Bm","E7","A","F#m",
"Bm","E","Dm/A","D/A",
"D/A","G#/A","A","A",
"A","A","A","A",
